filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_350.pdb,85.71,1.74381137224,0.246,0.168,-48.447,23.7193115442,76.9755949528,-5,-61.234,-202.561,-471.73,669.179,-2744.917,49.033062809,14.8968657697,7.35186304387,-37.5018409507,0.0,38.413,-109.226,-295.458,10.1719030823,-5.26393958852,84.16,-2467.36891504,-5.845,1543.601,54.0,-32.392,444,-44.909,509.622,-2549.64372046,302.401,59.510,2,14.403,2.06407982451,-64.288
50_sugar_small_moves_891.pdb,85.71,0.264951295605,0.254,0.538,-48.447,-15.9792339759,57.2425426005,-2,-61.732,-202.232,-491.47,666.528,-2751.615,-140.350209649,14.6673103795,8.6649922549,-38.9807010274,0.0,33.934,-109.226,-296.517,9.02579182954,-5.49349497872,94.06,-2656.75218749,-5.845,1554.488,60.0,-32.392,447,-45.590,499.729,-2589.34226598,295.316,59.510,1,16.121,1.75748614613,-64.288
50_sugar_small_moves_881.pdb,100.0,1.49606352832,0.254,2.596,-48.447,-126.814646066,125.998845961,-4,-62.609,-201.913,-422.71,669.929,-2753.059,-264.045835986,17.7608019319,7.27193236882,-37.7495887947,0.0,36.652,-109.226,-294.875,4.95061542452,-2.40000342626,72.28,-2780.44781383,-5.845,1552.413,60.0,-32.392,445,-44.242,501.855,-2700.17767807,295.022,59.510,1,75.954,3.62927345997,-64.288
50_sugar_small_moves_656.pdb,71.43,0.304732739452,0.246,0.874,-48.447,20.3172769812,247.512407661,-6,-61.030,-202.770,-301.2,670.036,-2756.432,24.1342732702,27.2122397491,5.94557283266,-38.9409195835,0.0,49.081,-109.226,-295.009,10.0359062023,7.05143439088,75.25,-2492.26770457,-5.845,1570.886,62.0,-32.392,443,-43.687,500.401,-2553.04575502,337.713,59.510,1,129.181,5.64666187079,-64.288
50_sugar_small_moves_810.pdb,85.71,2.58389904097,0.241,0.174,-48.447,-39.6978008463,75.6811136292,-7,-58.381,-201.913,-473.03,669.109,-2740.961,50.1361496813,16.2824798106,6.06863233442,-36.661753282,0.0,40.914,-109.226,-295.039,9.76465273498,-3.87832554759,81.19,-2466.26582816,-5.845,1543.604,74.0,-32.392,442,-44.423,502.888,-2613.06083285,295.929,59.510,0,15.516,2.01956037519,-64.288
50_sugar_small_moves_914.pdb,100.0,0.18566989664,0.246,0.127,-48.447,-53.8222230054,36.4988791284,-2,-62.179,-201.913,-512.21,666.021,-2744.637,172.21411954,9.59798821118,5.70788799371,-39.0599824263,0.0,35.213,-109.226,-296.084,4.46122268774,-10.562817147,87.13,-2344.1878583,-5.845,1545.150,70.0,-32.392,447,-45.680,501.418,-2627.18525501,284.391,59.510,2,6.403,1.44545865793,-64.288
50_sugar_small_moves_691.pdb,57.14,70.7145591776,0.243,3.721,-48.447,-216.046613142,4187.52739594,-14,-57.703,-201.913,3638.82,672.320,-2724.979,698.470938505,130.491682332,7.09615241012,31.4689068546,0.0,39.643,-109.226,-293.929,13.1480728171,110.330876974,33.66,-1817.93103934,-5.845,1533.881,0.0,-32.392,435,-43.262,505.780,-2789.40964515,481.729,59.510,0,3923.972,13.1480728171,-64.288
50_sugar_small_moves_878.pdb,100.0,-2.19166088914,0.241,0.311,-48.447,-19.276634111,40.0841232862,-5,-63.289,-201.913,-508.63,668.092,-2741.534,44.6710195871,11.9777018415,5.80566179309,-41.4373132121,0.0,30.203,-109.226,-295.594,9.39255864028,-8.18310351667,88.12,-2471.73095826,-5.845,1541.961,66.0,-32.392,444,-45.454,500.182,-2592.63966612,289.682,59.510,0,9.174,1.36244689144,-64.288
50_sugar_small_moves_868.pdb,71.43,2.91424430612,0.246,0.211,-48.447,-56.5681921812,153.767071673,-12,-59.449,-201.913,-394.94,670.992,-2731.524,-15.7699030639,25.537779626,5.40738860192,-36.3314080169,0.0,54.280,-109.226,-295.296,12.9678761833,5.37697426777,82.18,-2532.17188091,-5.845,1539.756,64.0,-32.392,437,-45.073,506.017,-2629.93122419,325.431,59.510,0,42.067,2.98257541454,-64.288
50_sugar_small_moves_862.pdb,85.71,1.35756253615,0.254,0.808,-48.447,-17.2600419082,47.7288518222,-7,-60.130,-202.440,-500.98,668.940,-2733.089,14.4299866475,14.4436370579,7.2103395134,-37.8880897868,0.0,37.163,-109.226,-294.104,9.49390698653,-5.71716830031,91.09,-2501.9719912,-5.845,1536.338,16.0,-32.392,442,-44.733,500.424,-2590.62307391,280.458,59.510,1,9.818,1.42217846377,-64.288
50_sugar_small_moves_510.pdb,100.0,2.11429081679,0.254,0.215,-48.447,-72.5025518028,51.6006188185,-8,-61.222,-201.913,-497.11,668.621,-2738.775,112.443341266,12.6709916759,7.7624730311,-37.1313615062,0.0,35.657,-109.226,-293.398,9.44540029667,-7.4898136823,83.17,-2403.95863658,-5.845,1537.194,62.0,-32.392,441,-43.849,501.477,-2645.86558381,286.180,59.510,0,13.138,1.64249793258,-64.288
50_sugar_small_moves_964.pdb,71.43,9.52321307747,0.246,19.070,-48.447,-32.7326804938,325.74924205,-9,-60.121,-202.149,-222.96,671.477,-2755.305,-56.9074531597,32.6903649336,7.18246695336,-29.7224392455,0.0,40.406,-109.226,-295.945,13.4716381627,12.5295595754,72.28,-2573.309431,-5.845,1559.223,70.0,-32.392,440,-43.690,503.418,-2606.0957125,338.286,59.510,1,202.810,6.08715794263,-64.288
