filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_257.pdb,87.5,2.36738508014,0.298,0.239,-48.330,73.6442763862,-10.5993608775,-6,-67.421,-200.330,-489.67,681.862,-2754.186,186.08075269,7.48604941904,3.12629039044,-39.7094606,0.0,26.218,-111.099,-313.196,2.90901737455,-9.72153251819,82.47,-2330.32122515,-5.889,1547.091,74.0,-32.392,456,-49.207,552.833,-2511.62254495,284.762,60.812,1,1.79844925516,-61.735
50_sugar_small_moves_928.pdb,75.0,2.91881232459,0.298,0.239,-48.330,-19.4572407819,11.9067896162,-8,-66.070,-200.091,-467.16,681.989,-2752.569,438.237289457,10.5522736166,3.65153388791,-39.1580333555,0.0,30.314,-111.099,-312.942,6.52972716234,-6.65530832066,64.95,-2078.16468839,-5.889,1550.334,66.0,-32.392,454,-48.679,550.157,-2604.72406212,298.487,60.812,0,4.96764316949,-61.735
50_sugar_small_moves_321.pdb,100.0,4.27363794686,0.299,0.239,-48.330,-166.265952122,24.8624604615,-9,-65.768,-200.091,-454.21,682.419,-2747.131,659.071255409,14.9242571303,4.34455166003,-37.8032077333,0.0,37.544,-111.099,-311.728,8.00500281492,-2.28332480698,38.14,-1857.33072244,-5.889,1549.115,78.0,-32.392,453,-48.342,555.150,-2751.53277346,292.719,60.812,0,5.74819450162,-61.735
50_sugar_small_moves_474.pdb,75.0,1.98518200775,0.296,3.352,-48.330,40.709479008,33.9703462209,-7,-66.770,-200.091,-445.1,683.429,-2751.942,258.575113081,9.75404538372,3.52992564005,-40.0916636724,0.0,29.750,-111.099,-312.917,8.24318020248,-7.45353655352,67.01,-2257.82686476,-5.889,1546.848,40.0,-32.392,455,-49.735,557.723,-2544.55734233,313.588,60.812,0,7.36813630002,-61.735
50_sugar_small_moves_381.pdb,87.5,2.2508884712,0.298,0.239,-48.330,-13.5241530086,-9.85558155713,-11,-65.862,-200.091,-488.93,681.355,-2747.825,495.141926818,9.42029644574,1.77983069343,-39.8259572089,0.0,23.949,-111.099,-311.620,2.59921639573,-7.7872854915,64.95,-2021.26005103,-5.889,1543.717,70.0,-32.392,451,-48.314,553.715,-2598.79097435,280.144,60.812,0,2.23273314448,-61.735
50_sugar_small_moves_588.pdb,75.0,2.49464202534,0.298,0.392,-48.330,-236.026475315,16.5296584924,-13,-66.020,-200.091,-462.54,681.844,-2743.479,408.376172031,11.7202949453,4.0319333972,-39.5822036548,0.0,34.844,-111.099,-311.528,8.95587967481,-5.48728699196,50.52,-2108.02580581,-5.889,1539.051,50.0,-32.392,449,-47.799,550.718,-2821.29329665,297.860,60.812,0,8.16868284654,-61.735
50_sugar_small_moves_366.pdb,87.5,2.50708055873,0.298,0.331,-48.330,-76.4817861419,-11.5165021945,-7,-66.953,-200.091,-490.59,682.038,-2749.942,51.6261566563,9.35083873696,4.87205662708,-39.5697651214,0.0,25.480,-111.099,-313.194,2.02933964922,-7.85674320028,85.57,-2464.77582119,-5.889,1546.318,50.0,-32.392,455,-49.076,551.511,-2661.74860748,281.325,60.812,0,1.53867706869,-61.735
50_sugar_small_moves_688.pdb,87.5,0.8842790859,0.296,0.331,-48.330,-10.5950716448,-11.6721078168,-9,-66.231,-200.091,-490.74,681.329,-2743.962,438.620594788,8.75765396506,2.8406398632,-41.1925665942,0.0,25.108,-111.099,-310.785,1.8357654566,-8.44992797217,68.04,-2077.78138306,-5.889,1538.369,68.0,-32.392,453,-48.505,550.892,-2595.86189298,281.140,60.812,0,2.06152909239,-61.735
50_sugar_small_moves_682.pdb,87.5,2.61607888423,0.296,0.331,-48.330,53.1760555743,-7.51697810058,-4,-66.357,-200.775,-486.59,681.810,-2750.863,69.7464364462,7.09208981875,3.7622502593,-39.4607667959,0.0,29.155,-111.099,-313.725,3.42400240224,-10.1154921185,82.47,-2446.6555414,-5.889,1546.592,60.0,-32.392,458,-50.178,551.939,-2532.09076576,283.819,60.812,1,2.08491778735,-61.735
50_sugar_small_moves_20.pdb,87.5,3.56628274925,0.298,0.392,-48.330,-46.5229613068,-10.8799468438,-10,-66.351,-200.091,-489.95,679.815,-2746.630,625.892848853,10.3593448782,3.46832204938,-38.5105629309,0.0,24.959,-111.099,-312.363,3.66222443609,-6.84823705902,55.67,-1890.50912899,-5.889,1543.087,68.0,-32.392,452,-48.016,550.722,-2631.78978264,282.858,60.812,0,3.01231560484,-61.735
