filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_485.pdb,100.0,0.595995107562,0.246,0.167,-48.447,-78.0039925024,8.52673909052,-2,-62.248,-202.817,-540.18,664.931,-2747.447,-77.3057056612,5.27767614324,-38.6496572154,0.0,26.217,-109.226,-296.733,0.00297191596,-14.883129215,93.07,-2593.70768351,-5.845,1544.919,48.0,-32.392,447,-47.247,498.077,-2651.36702451,281.331,59.510,2,1.109,0.837180060444,-64.288
50_sugar_small_moves_90.pdb,100.0,0.372652245853,0.254,0.167,-48.447,-6.4285595984,7.18586724427,1,-62.601,-202.580,-541.52,664.412,-2746.686,-29.0783721622,4.38343284818,-38.8730000771,0.0,25.752,-109.226,-297.063,0.00297191596,-15.77737251,98.02,-2545.48035001,-5.845,1544.777,48.0,-32.392,450,-47.552,498.580,-2579.7915916,280.456,59.510,2,1.247,0.663310521829,-64.288
50_sugar_small_moves_572.pdb,100.0,0.574665550362,0.246,0.167,-48.447,-6.54512432137,6.42920944403,-2,-62.710,-202.797,-542.28,665.337,-2748.520,-66.5192373321,3.59001932418,-38.6709867726,0.0,27.746,-109.226,-297.031,0.00297191596,-16.570786034,99.01,-2582.92121518,-5.845,1544.893,50.0,-32.392,447,-47.552,498.037,-2579.90815633,280.044,59.510,2,0.548,0.627684385717,-64.288
50_sugar_small_moves_551.pdb,100.0,0.491288212841,0.246,0.167,-48.447,-30.1419447802,6.12925603241,0,-62.714,-202.237,-542.58,664.805,-2746.881,-93.4994599947,5.74846609967,-38.7543641101,0.0,24.446,-109.226,-297.152,0.00297191596,-14.4123392585,97.03,-2609.90143784,-5.845,1543.917,44.0,-32.392,449,-46.673,498.560,-2603.50497679,280.838,59.510,2,0.785,0.509506792517,-64.288
50_sugar_small_moves_130.pdb,100.0,0.335950824897,0.254,0.167,-48.447,-21.6579070433,7.05661399989,0,-63.193,-202.798,-541.65,666.178,-2751.416,-44.596218654,3.9617540503,-38.9097014981,0.0,25.381,-109.226,-299.566,0.00297191596,-16.1990513079,98.02,-2560.9981965,-5.845,1550.033,42.0,-32.392,449,-47.778,498.896,-2595.02093905,282.462,59.510,2,0.415,0.588777967289,-64.288
50_sugar_small_moves_62.pdb,100.0,0.221840131066,0.246,0.167,-48.447,-9.16119445871,7.78110325158,-2,-62.348,-201.913,-540.93,664.521,-2747.437,-100.200989088,4.61367461152,-39.0238121919,0.0,25.763,-109.226,-297.409,0.00297191596,-15.5471307467,97.03,-2616.60296693,-5.845,1543.535,52.0,-32.392,447,-47.008,498.150,-2582.52422646,281.314,59.510,2,2.178,0.5747861506,-64.288
50_sugar_small_moves_916.pdb,100.0,0.405820033119,0.254,0.167,-48.447,-3.07793855656,5.78405605789,0,-62.409,-202.687,-542.93,664.762,-2748.194,-113.439489876,4.08914108926,-38.8398322899,0.0,25.280,-109.226,-297.638,0.00297191596,-16.071664269,98.02,-2629.84146772,-5.845,1545.312,44.0,-32.392,449,-47.705,498.412,-2576.44097056,280.278,59.510,2,1.930,0.479163289158,-64.288
50_sugar_small_moves_678.pdb,100.0,0.705191526242,0.254,0.167,-48.447,-46.4165505217,10.1311845099,-4,-62.171,-202.448,-538.58,663.825,-2745.759,-39.6872745717,9.09314229306,-38.5404607967,0.0,26.054,-109.226,-296.168,0.00297191596,-11.0676630652,97.03,-2556.08925242,-5.845,1543.136,48.0,-32.392,445,-45.212,498.154,-2619.77958253,281.312,59.510,2,0.963,0.626158214013,-64.288
50_sugar_small_moves_240.pdb,100.0,0.283684969155,0.254,0.167,-48.447,-19.0808314401,5.80459448135,0,-62.107,-203.384,-542.9,664.690,-2750.579,-90.7414751966,2.82777640707,-38.9619673538,0.0,27.023,-109.226,-298.246,0.00297191596,-17.3330289511,99.01,-2607.14345304,-5.845,1548.057,40.0,-32.392,449,-47.933,498.083,-2592.44386345,281.013,59.510,2,0.743,0.6167863292,-64.288
50_sugar_small_moves_779.pdb,100.0,0.227744051157,0.246,0.167,-48.447,11.1167466797,7.26738856107,0,-62.641,-202.809,-541.44,665.203,-2750.023,-27.8097737776,4.35418871627,-39.0179082718,0.0,27.046,-109.226,-299.522,0.00297191596,-15.8066166419,96.04,-2544.21175162,-5.845,1548.321,32.0,-32.392,449,-47.736,498.826,-2562.24628533,281.384,59.510,2,0.782,0.738174826022,-64.288
50_sugar_small_moves_463.pdb,100.0,-0.920435447418,0.246,0.167,-48.447,-17.8291200856,5.79881207101,2,-63.344,-202.929,-542.91,665.719,-2753.571,-85.8298549429,3.03920037966,-40.1660877704,0.0,26.255,-109.226,-301.600,0.00297191596,-17.1216049786,98.02,-2602.23183279,-5.845,1554.050,36.0,-32.392,451,-48.481,498.578,-2591.19215209,282.122,59.510,2,0.563,0.62818937301,-64.288
50_sugar_small_moves_389.pdb,100.0,0.305787798849,0.246,0.167,-48.447,-37.6492497257,3.45169141056,0,-62.473,-202.920,-545.26,663.826,-2746.882,-41.2604600603,3.6707918243,-38.9398645241,0.0,23.586,-109.226,-298.032,0.00297191596,-16.4900135339,97.03,-2557.66243791,-5.845,1545.705,50.0,-32.392,449,-47.623,498.159,-2611.01228173,280.569,59.510,2,1.102,0.590985687075,-64.288
50_sugar_small_moves_306.pdb,100.0,0.148546931195,0.246,0.167,-48.447,-6.66771624803,6.88306151471,0,-63.519,-202.851,-541.83,664.640,-2750.606,-75.2147624323,4.37949585482,-39.0971053918,0.0,26.047,-109.226,-300.046,0.00297191596,-15.7813095034,98.02,-2591.61674028,-5.845,1549.551,40.0,-32.392,449,-47.422,498.616,-2580.03074825,283.178,59.510,2,0.859,0.615130086468,-64.288
