filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_323.pdb,62.5,13.6792453352,0.298,0.392,-48.330,-139.879963649,62.715547995,-12,-64.618,-200.091,-416.36,684.924,-2741.566,714.137308638,24.139929605,6.71010895175,-28.397600345,0.0,42.053,-111.099,-311.966,7.05949821902,6.93234766777,35.05,-1802.26466921,-5.889,1545.214,62.0,-32.392,450,-48.259,555.504,-2725.14678499,320.392,60.812,0,11.7676206078,-61.735
50_sugar_small_moves_224.pdb,87.5,2.63954889603,0.298,0.239,-48.330,-52.7843183628,7.69928894175,-15,-64.992,-200.091,-471.37,681.836,-2743.641,658.059685846,13.9208471139,7.08503928539,-39.4372967841,0.0,26.604,-111.099,-312.581,8.89304789945,-3.28673482336,40.21,-1858.342292,-5.889,1541.395,60.0,-32.392,447,-47.970,565.090,-2638.0511397,281.074,60.812,0,8.49330742652,-61.735
50_sugar_small_moves_962.pdb,75.0,1.56549485227,0.292,0.239,-48.330,93.1936938238,-11.6683597911,-8,-66.234,-200.091,-490.74,681.971,-2741.898,778.769806263,8.59823574283,6.67952829778,-40.5113508279,0.0,25.704,-111.099,-313.455,6.98821419966,-8.60934619441,42.27,-1737.63217158,-5.889,1537.567,66.0,-32.392,454,-48.707,553.323,-2492.07312751,279.183,60.812,0,5.53844250065,-61.735
50_sugar_small_moves_854.pdb,62.5,2.28166722516,0.298,0.239,-48.330,-11.1942625696,32.4982782725,-11,-65.685,-200.091,-446.57,681.609,-2743.639,874.193782647,12.9915154177,6.36720308658,-39.795178455,0.0,42.003,-111.099,-311.849,9.40494407001,-4.21606651952,39.18,-1642.2081952,-5.889,1543.284,60.0,-32.392,451,-47.958,552.450,-2596.46108391,301.398,60.812,0,9.52794247752,-61.735
50_sugar_small_moves_17.pdb,62.5,1.42068745178,0.296,0.239,-48.330,35.4962193174,-1.3094917872,-11,-66.491,-200.091,-480.38,680.742,-2737.935,847.254338632,9.7814349368,5.36467956944,-40.6561582284,0.0,24.026,-111.099,-311.692,5.1863952416,-7.42614700043,43.3,-1669.14763921,-5.889,1533.524,78.0,-32.392,451,-48.327,563.431,-2549.77060202,280.530,60.812,0,5.48243189868,-61.735
50_sugar_small_moves_866.pdb,75.0,1.66073193285,0.298,0.239,-48.330,-3.12341020123,-9.23662716297,-12,-66.470,-200.091,-488.31,681.647,-2743.203,825.394376761,10.5424983794,4.92356686421,-40.4161137473,0.0,25.814,-111.099,-311.464,6.66293496096,-6.66508355782,42.27,-1691.00760108,-5.889,1538.072,60.0,-32.392,450,-48.483,551.462,-2588.39023154,282.505,60.812,0,6.63636479581,-61.735
50_sugar_small_moves_144.pdb,87.5,4.41935625607,0.298,0.239,-48.330,-243.097114395,3.93741255434,-12,-65.951,-200.091,-475.13,683.879,-2746.211,149.111242774,10.7175803181,7.96650708204,-37.6574894241,0.0,30.505,-111.099,-312.260,7.97883613471,-6.49000161911,42.27,-2367.29073507,-5.889,1545.407,62.0,-32.392,450,-48.335,554.476,-2828.36393573,281.543,60.812,0,8.33726954258,-61.735
50_sugar_small_moves_340.pdb,87.5,6.06931261333,0.298,0.392,-48.330,-194.610044876,32.5477999998,-12,-64.948,-200.091,-446.52,682.216,-2749.484,663.821987334,19.3158239458,4.801368395,-36.0075330668,0.0,29.377,-111.099,-311.786,8.59876617539,2.10824200853,40.21,-1852.57999051,-5.889,1548.607,74.0,-32.392,450,-48.030,559.096,-2779.87686621,306.461,60.812,0,9.00455224789,-61.735
50_sugar_small_moves_271.pdb,62.5,3.81209837051,0.298,0.392,-48.330,-7.87548409028,30.4867139166,-15,-65.996,-200.091,-448.58,684.399,-2739.370,980.772887439,13.7172712646,7.26751303238,-38.2647473096,0.0,37.685,-111.099,-309.879,13.4441832614,-3.49031067262,30.93,-1535.62909041,-5.889,1536.547,62.0,-32.392,447,-46.748,554.797,-2593.14230543,298.012,60.812,0,13.180517716,-61.735
50_sugar_small_moves_479.pdb,62.5,2.02488772096,0.298,0.123,-48.330,-18.1001270547,16.917405951,-13,-65.249,-200.091,-462.15,682.267,-2746.663,674.687104078,10.8172653253,5.27803418317,-40.0519579592,0.0,40.066,-111.099,-311.478,10.0130386237,-6.39031661192,44.33,-1841.71487377,-5.889,1541.505,76.0,-32.392,449,-48.128,552.332,-2603.36694839,291.497,60.812,0,10.049917888,-61.735
