filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_185.pdb,100.0,0.574422210659,0.298,1.176,-48.330,5.1521576528,4.62148808013,-10,-67.737,-200.091,-473.66,681.937,-2755.594,-43.8676406539,8.09450363271,3.21540689597,-41.5024234695,0.0,27.285,-111.099,-311.136,6.4666176527,-9.11307830453,92.78,-2560.2696185,-5.889,1552.640,74.0,-32.392,452,-48.980,550.707,-2580.11466368,284.603,60.812,1,9.863,1.00043956802,-61.735
50_sugar_small_moves_882.pdb,87.5,0.39568685702,0.296,0.484,-48.330,19.4164311056,-10.3292104366,-1,-67.752,-200.845,-488.61,682.184,-2761.260,39.1712233755,4.25888717846,4.61145788177,-41.6811588231,0.0,26.412,-111.099,-313.010,1.51490495615,-12.9486947588,97.94,-2477.23075447,-5.889,1556.602,56.0,-32.392,461,-51.043,550.316,-2565.85039023,283.258,60.812,2,4.378,0.67527960864,-61.735
50_sugar_small_moves_708.pdb,100.0,-0.113831971751,0.299,0.748,-48.330,-17.0734700896,-24.0990574694,-4,-68.249,-200.091,-502.38,681.769,-2756.745,23.5411560913,4.35298843447,3.38911460313,-42.1906776519,0.0,23.363,-111.099,-313.029,2.10781662699,-12.8545935028,93.81,-2492.86082175,-5.889,1550.937,40.0,-32.392,458,-49.192,549.259,-2602.34029143,275.820,60.812,2,1.360,0.532294422921,-61.735
50_sugar_small_moves_314.pdb,100.0,0.0388571225967,0.298,0.239,-48.330,29.9574285717,-9.47833747534,-5,-69.294,-200.695,-487.76,683.048,-2760.720,14.9814719061,2.05891906416,3.62268544419,-42.0379885575,0.0,29.744,-111.099,-312.362,5.86694935507,-15.1486628731,100.0,-2501.42050594,-5.889,1555.197,64.0,-32.392,457,-50.827,549.029,-2555.30939276,283.325,60.812,2,3.888,0.775538874664,-61.735
50_sugar_small_moves_874.pdb,100.0,0.269064832728,0.298,0.331,-48.330,26.168473906,-13.0215827541,-3,-68.368,-200.832,-491.31,681.675,-2772.098,-54.2141851703,2.03219529217,3.98250944949,-41.8077808474,0.0,27.035,-111.099,-314.834,1.9564217715,-15.1753866451,98.97,-2570.61616302,-5.889,1565.593,44.0,-32.392,459,-51.365,550.686,-2559.09834743,284.018,60.812,2,5.189,0.742674273683,-61.735
50_sugar_small_moves_745.pdb,100.0,0.571098354877,0.298,0.393,-48.330,-16.9552220935,-8.57217484888,-7,-67.229,-200.091,-486.86,682.267,-2757.184,38.0487594699,5.66073702941,3.78170682238,-41.5057473253,0.0,24.905,-111.099,-311.822,1.76723341899,-11.5468449078,91.75,-2478.35321838,-5.889,1551.056,56.0,-32.392,455,-49.520,550.808,-2602.22204343,282.037,60.812,2,5.860,0.788061424804,-61.735
50_sugar_small_moves_803.pdb,100.0,2.90606917685,0.299,0.392,-48.330,-84.600988009,256.011546365,-5,-66.838,-200.091,-222.27,686.727,-2770.856,92.7467654229,21.6105391649,3.83266474355,-39.1707765033,0.0,39.892,-111.099,-312.377,9.33145950048,4.40295722769,76.29,-2423.65521242,-5.889,1572.742,62.0,-32.392,457,-50.442,549.996,-2669.86780935,320.356,60.812,1,206.561,5.5837073937,-61.735
50_sugar_small_moves_760.pdb,100.0,0.122077606809,0.296,0.546,-48.330,6.61661300753,-14.5428880737,-3,-68.338,-200.889,-492.83,681.158,-2759.594,-62.0326008726,1.14547910829,2.81085746306,-41.9547680733,0.0,26.033,-111.099,-313.033,5.41622474257,-16.0621028289,100.0,-2578.43457872,-5.889,1556.642,64.0,-32.392,459,-51.225,549.313,-2578.65020833,281.222,60.812,2,3.675,0.639259185002,-61.735
50_sugar_small_moves_924.pdb,75.0,0.587117565732,0.292,0.495,-48.330,45.7047974957,215.601769475,-7,-66.378,-200.837,-262.68,686.357,-2771.261,105.962988052,17.6249480992,4.78428682207,-41.4897281144,0.0,37.353,-111.099,-310.511,9.99651227443,0.417366161936,81.44,-2410.43898979,-5.889,1577.061,60.0,-32.392,455,-49.753,553.258,-2539.56202384,334.053,60.812,1,145.822,6.01137742215,-61.735
50_sugar_small_moves_673.pdb,100.0,0.277365391217,0.298,0.862,-48.330,20.9776707851,3.66112571887,-7,-67.498,-200.091,-474.62,682.187,-2755.065,121.845879854,7.38774472023,4.44558871916,-41.7994802889,0.0,29.858,-111.099,-311.143,5.17504392739,-9.81983721701,87.63,-2394.55609799,-5.889,1553.019,62.0,-32.392,455,-48.731,550.956,-2564.28915055,281.731,60.812,1,7.628,1.06258642072,-61.735
50_sugar_small_moves_496.pdb,100.0,0.425867266238,0.298,0.239,-48.330,28.4270385564,-15.9548146044,-3,-67.122,-200.682,-494.24,681.394,-2759.482,25.1834954034,6.04057258546,2.99353087976,-41.6509784139,0.0,24.106,-111.099,-313.028,2.30517693442,-11.1670093518,100.0,-2491.21848244,-5.889,1556.309,44.0,-32.392,459,-50.351,550.590,-2556.83978278,280.973,60.812,2,1.149,0.592288583737,-61.735
50_sugar_small_moves_699.pdb,100.0,0.164900718667,0.298,0.239,-48.330,30.8581736061,-12.0051970152,-2,-67.502,-200.780,-490.29,681.981,-2761.557,21.6485443215,4.63044254989,3.41238992186,-41.9119449615,0.0,26.386,-111.099,-312.140,2.56741385331,-12.5771393873,98.97,-2494.75343352,-5.889,1555.913,44.0,-32.392,460,-51.131,551.454,-2554.40864773,281.782,60.812,2,3.401,0.701164303235,-61.735
50_sugar_small_moves_665.pdb,100.0,0.347706396573,0.298,0.239,-48.330,-19.4629421908,-10.9869961168,-3,-67.426,-200.908,-489.27,681.590,-2761.645,-27.6504446094,4.34020491682,1.94348323038,-41.7291392836,0.0,26.635,-111.099,-312.243,1.76288626563,-12.8673770204,98.97,-2544.05242245,-5.889,1558.041,56.0,-32.392,459,-50.907,551.723,-2604.72976353,279.536,60.812,2,4.429,0.655638972313,-61.735
