filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_782.pdb,87.5,0.228785461652,0.298,0.331,-48.330,41.0248638824,-23.6768782959,-2,-68.649,-200.790,-502.75,680.694,-2759.436,47.3952613529,2.81246566773,-41.8480602185,0.0,23.372,-111.099,-312.736,0.341736187036,-14.3951162695,95.88,-2469.00671649,-5.889,1553.668,44.0,-32.392,460,-51.195,550.553,-2544.24195745,279.776,60.812,1,0.692336656923,-61.735
50_sugar_small_moves_632.pdb,100.0,0.880465733264,0.298,0.331,-48.330,-8.4501007792,-22.7667245604,2,-69.225,-201.366,-501.84,681.917,-2766.186,1.83375926743,2.78042772198,-41.1963799469,0.0,22.873,-111.099,-314.427,0.341736187036,-14.4271542153,97.94,-2514.56821858,-5.889,1561.529,24.0,-32.392,464,-52.946,551.034,-2593.71692212,282.963,60.812,2,0.727310552426,-61.735
50_sugar_small_moves_576.pdb,87.5,0.368294076989,0.298,0.331,-48.330,40.9890962682,-24.229317994,-1,-68.725,-200.890,-503.3,680.023,-2763.603,53.7627033994,0.913206551518,-41.7085516031,0.0,25.153,-111.099,-313.920,0.355166838308,-16.2943753857,98.97,-2462.63927445,-5.889,1557.891,38.0,-32.392,461,-52.401,550.177,-2544.27772507,281.001,60.812,2,0.716923823142,-61.735
50_sugar_small_moves_156.pdb,100.0,0.601381995665,0.298,0.331,-48.330,-16.9077491378,-20.1750463129,-2,-68.470,-200.858,-499.25,681.624,-2763.175,-17.4128241524,4.45932806263,-41.4754636845,0.0,23.179,-111.099,-312.286,0.341753442634,-12.7482538746,98.97,-2533.814802,-5.889,1557.228,36.0,-32.392,460,-50.540,551.333,-2602.17457047,280.724,60.812,2,0.640415803313,-61.735
50_sugar_small_moves_379.pdb,87.5,0.31550443375,0.298,0.331,-48.330,54.0472851517,-19.1579528206,-4,-67.947,-200.906,-498.23,680.184,-2761.163,69.6829452465,4.81933372622,-41.7613412464,0.0,25.488,-111.099,-312.980,0.355118557518,-12.388248211,94.85,-2446.7190326,-5.889,1556.426,44.0,-32.392,458,-50.688,550.142,-2531.21953618,281.220,60.812,1,0.933168847288,-61.735
50_sugar_small_moves_297.pdb,100.0,2.28770520442,0.298,0.331,-48.330,-48.7438501164,-18.085033772,1,-67.912,-200.640,-497.16,681.869,-2762.921,-10.1443578188,5.21740908477,-39.7891404757,0.0,24.111,-111.099,-313.948,0.355099084303,-11.9901728525,98.97,-2526.54633566,-5.889,1557.969,40.0,-32.392,463,-51.536,551.704,-2634.01067145,282.151,60.812,2,0.851038445758,-61.735
50_sugar_small_moves_755.pdb,100.0,0.789914696722,0.299,0.331,-48.330,-25.8915560883,-10.8126444082,-5,-67.959,-200.697,-489.88,680.426,-2755.521,103.02614967,5.85397893226,-41.2869309834,0.0,23.617,-111.099,-311.173,0.341629157696,-11.353603005,87.63,-2413.37582818,-5.889,1548.849,28.0,-32.392,457,-48.797,558.142,-2611.15837742,281.234,60.812,1,0.851326106683,-61.735
50_sugar_small_moves_36.pdb,100.0,0.328150430676,0.298,0.331,-48.330,9.53488884406,-22.9966559545,-3,-68.798,-200.731,-502.07,681.890,-2765.778,10.7665793327,1.48810384371,-41.7486952495,0.0,24.426,-111.099,-313.800,0.355110983631,-15.7194780935,98.97,-2505.63539851,-5.889,1558.497,32.0,-32.392,459,-51.995,551.119,-2575.73193249,281.107,60.812,2,0.553171960565,-61.735
50_sugar_small_moves_188.pdb,100.0,0.237051840665,0.298,0.331,-48.330,-31.8996309633,-20.626374822,-2,-68.527,-200.249,-499.7,680.427,-2760.380,9.24282932551,4.7923980133,-41.8397938395,0.0,22.974,-111.099,-312.770,0.341753442634,-12.4151839239,96.91,-2507.15914852,-5.889,1555.663,38.0,-32.392,460,-51.476,551.013,-2617.1664523,281.632,60.812,2,0.651160027322,-61.735
50_sugar_small_moves_440.pdb,100.0,0.26387821391,0.298,0.331,-48.330,29.4026465801,-22.4427087448,-3,-67.835,-200.732,-501.51,681.401,-2760.786,93.5064102835,3.89261560892,-41.8129674662,0.0,22.324,-111.099,-312.888,0.341764411745,-13.3149663283,95.88,-2422.89556756,-5.889,1556.210,38.0,-32.392,459,-51.466,550.360,-2555.86417476,279.903,60.812,1,0.893818200281,-61.735
50_sugar_small_moves_830.pdb,100.0,0.574859103498,0.298,0.331,-48.330,-4.55550327314,-23.2521618147,-2,-68.608,-200.815,-502.32,680.095,-2762.235,22.8209634287,2.41435275105,-41.5019865766,0.0,24.137,-111.099,-313.443,0.35512340609,-14.7932291862,100.0,-2493.58101442,-5.889,1557.331,26.0,-32.392,460,-50.741,549.892,-2589.82232461,280.068,60.812,2,0.793390320682,-61.735
50_sugar_small_moves_437.pdb,87.5,0.285764890165,0.298,0.331,-48.330,29.0138337649,-22.6172169007,0,-68.137,-200.879,-501.69,681.101,-2760.550,82.2505104418,2.86995146396,-41.79108079,0.0,23.386,-111.099,-312.857,0.355107471499,-14.3376304733,98.97,-2434.1514674,-5.889,1556.268,38.0,-32.392,462,-52.058,550.388,-2556.25298757,279.653,60.812,2,0.804786557077,-61.735
50_sugar_small_moves_60.pdb,100.0,0.825158913618,0.298,0.331,-48.330,-16.5889822033,-17.8156814173,-6,-67.111,-200.934,-496.89,680.147,-2761.354,50.4536522218,4.94826501834,-41.2516867665,0.0,23.088,-111.099,-313.024,0.341764411745,-12.2593169189,87.63,-2465.94832562,-5.889,1554.518,34.0,-32.392,456,-50.243,551.314,-2601.85580354,284.716,60.812,0,1.20019919334,-61.735
50_sugar_small_moves_676.pdb,100.0,0.400540905111,0.298,0.331,-48.330,9.90540285171,-17.5380193799,-7,-67.211,-200.091,-496.61,681.201,-2752.752,85.4320827708,7.57836719824,-41.676304775,0.0,23.578,-111.099,-311.887,0.354899796644,-9.629214739,88.66,-2430.96989507,-5.889,1548.502,62.0,-32.392,455,-50.218,550.533,-2575.36141848,279.740,60.812,0,0.860351850811,-61.735
50_sugar_small_moves_78.pdb,100.0,0.678382533005,0.298,0.331,-48.330,-0.165247773544,-20.0834725015,-3,-67.929,-201.047,-499.15,681.381,-2761.348,29.727688943,4.35956119044,-41.3984631471,0.0,24.654,-111.099,-312.898,0.341598857411,-12.8480207468,95.88,-2486.6742889,-5.889,1555.794,36.0,-32.392,459,-51.091,551.099,-2585.43206911,280.234,60.812,1,0.714832007404,-61.735
50_sugar_small_moves_69.pdb,100.0,2.66029254019,0.298,0.331,-48.330,-16.2564155321,-20.0069123548,-2,-68.172,-200.091,-499.08,681.056,-2759.354,54.8711736429,5.70183163756,-39.4165531399,0.0,23.192,-111.099,-313.845,0.355110983631,-11.5057502997,94.85,-2461.5308042,-5.889,1555.490,38.0,-32.392,460,-51.957,550.943,-2601.52323687,281.665,60.812,1,0.652994897911,-61.735
50_sugar_small_moves_55.pdb,100.0,0.365400343429,0.298,0.331,-48.330,21.4774787838,-18.8138290063,-7,-68.408,-200.091,-497.89,680.833,-2755.015,76.6910006986,5.93780884948,-41.7114453367,0.0,24.890,-111.099,-311.148,0.341453508975,-11.2697730878,94.85,-2439.71097715,-5.889,1548.899,42.0,-32.392,455,-47.991,550.243,-2563.78934255,277.908,60.812,1,0.768516720901,-61.735
50_sugar_small_moves_23.pdb,100.0,0.675709921921,0.299,0.331,-48.330,17.8124347379,-18.6666326457,-5,-67.308,-200.793,-497.74,680.564,-2758.756,58.7520489825,5.38063067174,-41.4011357582,0.0,24.186,-111.099,-311.722,0.341466158421,-11.8269512655,95.88,-2457.64992886,-5.889,1553.465,34.0,-32.392,457,-50.414,550.824,-2567.4543866,280.219,60.812,1,0.632591613682,-61.735
50_sugar_small_moves_729.pdb,100.0,0.773143916692,0.298,0.331,-48.330,-13.625242479,-22.3580957109,-2,-68.785,-200.838,-501.43,678.928,-2760.367,-19.0420773736,3.96890422026,-41.3037017634,0.0,22.815,-111.099,-312.926,0.341453508975,-13.238677717,97.94,-2535.44405522,-5.889,1556.069,34.0,-32.392,460,-49.992,550.662,-2598.89206382,281.009,60.812,2,0.525027286611,-61.735
50_sugar_small_moves_925.pdb,87.5,0.219206945234,0.298,0.331,-48.330,37.3400006532,-19.5288786472,-4,-67.794,-201.006,-498.6,680.871,-2761.170,35.1699203174,3.31903166775,-41.8576387349,0.0,24.461,-111.099,-312.705,0.355087047651,-13.8885502695,95.88,-2481.23205753,-5.889,1555.382,46.0,-32.392,458,-50.945,551.296,-2547.92682068,281.015,60.812,1,1.02158240747,-61.735
50_sugar_small_moves_48.pdb,100.0,0.414638786934,0.298,0.331,-48.330,13.0941504232,-21.8666820463,-4,-67.510,-200.165,-500.94,680.215,-2759.563,98.583743732,4.54029934978,-41.6622068932,0.0,23.904,-111.099,-312.499,0.341629157696,-12.6672825875,97.94,-2417.81823411,-5.889,1553.603,34.0,-32.392,458,-51.665,549.993,-2572.17267091,280.751,60.812,1,0.591948751072,-61.735
50_sugar_small_moves_47.pdb,100.0,0.422264362435,0.298,0.331,-48.330,15.6984066207,-21.4290899604,1,-68.584,-200.936,-500.5,681.338,-2769.178,-14.4551193888,1.57272312457,-41.6545813177,0.0,25.756,-111.099,-313.990,0.341453508975,-15.6348588127,98.97,-2530.85709723,-5.889,1561.780,32.0,-32.392,463,-52.871,550.448,-2569.56841472,283.741,60.812,2,0.594928217743,-61.735
50_sugar_small_moves_522.pdb,100.0,0.843137393195,0.298,0.331,-48.330,37.5293727556,-18.8651742976,-4,-67.841,-200.740,-497.94,680.819,-2758.718,41.8910824256,5.19347425055,-41.2337082869,0.0,25.375,-111.099,-312.428,0.34174634504,-12.0141076867,94.85,-2474.51089542,-5.889,1552.160,48.0,-32.392,458,-50.542,550.748,-2547.73744858,281.236,60.812,1,0.679015478749,-61.735
