filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_584.pdb,87.5,7.49070669166,0.271,0.504,-48.330,13.8225500117,-44.6129870837,8,-66.829,-201.739,-3413.03,690.848,-5650.707,-195.990864053,-10.7295258062,-105.198360591,0.0,29.105,-111.099,-322.629,0.438661676629,-79.8705347223,100.0,-2712.3928419,-5.889,1623.193,58.0,-32.392,470,-49.671,547.972,-2571.44427132,182.026,60.812,2,3.264,1.02906101575,-61.735
50_sugar_small_moves_903.pdb,87.5,7.68708284088,0.270,0.504,-48.330,6.90143522736,-43.7010799695,9,-65.941,-201.247,-3412.11,690.532,-5661.506,-175.041661527,-11.2901303879,-105.001984441,0.0,28.537,-111.099,-320.718,0.435093220039,-80.431139304,100.0,-2691.44363937,-5.889,1625.763,54.0,-32.392,471,-48.909,550.353,-2578.36538611,187.615,60.812,2,1.265,1.20875497789,-61.735
50_sugar_small_moves_446.pdb,100.0,7.56245296401,0.270,0.504,-48.330,60.4095610236,-43.8869011815,8,-65.741,-201.624,-3412.3,689.234,-5655.480,-150.525649843,-13.8618633238,-105.126614318,0.0,27.444,-111.099,-321.364,0.43689197359,-83.00287224,100.0,-2666.92762769,-5.889,1624.843,76.0,-32.392,470,-49.507,550.937,-2524.85726031,184.088,60.812,2,2.731,0.954194219157,-61.735
50_sugar_small_moves_954.pdb,87.5,8.49893310888,0.270,0.504,-48.330,51.1505970987,-40.3008352695,6,-67.076,-201.866,-3408.71,693.388,-5675.633,-185.507477966,-13.4073451225,-104.190134173,0.0,30.569,-111.099,-322.202,0.441183764682,-82.5483540386,100.0,-2701.90945581,-5.889,1634.365,58.0,-32.392,468,-48.675,551.023,-2534.11622424,191.798,60.812,2,3.453,1.02824255289,-61.735
50_sugar_small_moves_930.pdb,87.5,7.4625068109,0.270,0.566,-48.330,10.6695467833,-40.288083454,6,-65.387,-201.630,-3408.7,691.666,-5663.715,-176.358019877,-11.6551866417,-105.226560471,0.0,28.474,-111.099,-320.485,0.437410928972,-80.7961955578,98.97,-2692.75999772,-5.889,1627.050,60.0,-32.392,468,-48.478,548.969,-2574.59727455,188.654,60.812,2,3.978,1.14089300073,-61.735
50_sugar_small_moves_9.pdb,87.5,8.32583694533,0.270,0.720,-48.330,16.889760611,-40.7695529943,10,-67.228,-201.585,-3409.18,693.222,-5668.015,-119.616279912,-10.131140266,-104.363230337,0.0,28.184,-111.099,-323.520,0.435256313143,-79.2721491821,100.0,-2636.01825776,-5.889,1635.085,60.0,-32.392,472,-49.076,551.512,-2568.37706073,189.144,60.812,2,0.738,0.989706604449,-61.735
50_sugar_small_moves_358.pdb,87.5,7.18837653838,0.270,0.504,-48.330,46.3220700314,-40.7562232092,5,-66.345,-200.665,-3409.17,690.030,-5661.664,-150.365583758,-10.7546730452,-105.500690744,0.0,29.334,-111.099,-319.478,0.437501166706,-79.8956819613,100.0,-2666.7675616,-5.889,1628.128,54.0,-32.392,467,-48.869,549.505,-2538.9447513,184.988,60.812,2,3.724,1.04047376995,-61.735
50_sugar_small_moves_22.pdb,87.5,8.03200369856,0.270,0.566,-48.330,49.0001497778,-31.0800444704,7,-68.087,-200.900,-3399.49,696.834,-5676.740,-151.766392772,-8.57977835052,-104.657063584,0.0,30.141,-111.099,-324.770,0.437802458049,-77.7207872667,98.97,-2668.16837062,-5.889,1637.572,50.0,-32.392,469,-47.984,548.209,-2536.26667156,199.812,60.812,2,4.217,1.37159480174,-61.735
50_sugar_small_moves_333.pdb,87.5,8.4573170672,0.270,0.504,-48.330,39.4219457402,-36.7665777703,7,-66.704,-201.309,-3405.18,693.260,-5673.932,-138.384837042,-8.74296761885,-104.231750215,0.0,28.563,-111.099,-322.467,0.437802460363,-77.883976535,98.97,-2654.78681489,-5.889,1635.611,50.0,-32.392,469,-48.048,551.088,-2545.8448756,192.220,60.812,2,4.397,1.11694037414,-61.735
50_sugar_small_moves_811.pdb,87.5,8.60179259291,0.270,0.504,-48.330,34.9347507755,-37.8535746234,2,-66.535,-200.436,-3406.27,693.961,-5676.766,-146.805546477,-6.22548213525,-104.087274689,0.0,28.503,-111.099,-322.121,0.440737646733,-75.3664910514,100.0,-2663.20752432,-5.889,1637.564,60.0,-32.392,464,-46.687,551.182,-2550.33207056,191.752,60.812,2,1.176,1.2241935399,-61.735
